Scrape_Date,Rank,Country,Gold,Silver,Bronze,Total
2026-04-07,1,Norway,18,12,11,41
2026-04-07,2,United States,12,12,9,33
2026-04-07,3,Netherlands,10,7,3,20
2026-04-07,4,Italy*,10,6,14,30
2026-04-07,5,Germany,8,10,8,26
2026-04-07,6,France,8,9,6,23
2026-04-07,7,Sweden,8,6,4,18
2026-04-07,8,Switzerland,6,9,8,23
2026-04-07,9,Austria,5,8,5,18
2026-04-07,10,Japan,5,7,12,24
2026-04-07,11,Canada,5,7,9,21
2026-04-07,12,China,5,4,6,15
2026-04-07,13,South Korea,3,4,3,10
2026-04-07,14,Australia,3,2,1,6
2026-04-07,15,Great Britain,3,1,1,5
2026-04-07,16,Czech Republic,2,2,1,5
2026-04-07,17,Slovenia,2,1,1,4
2026-04-07,18,Spain,1,0,2,3
2026-04-07,19,Brazil,1,0,0,1
2026-04-07,Kazakhstan,1,0,0,1,0
2026-04-07,21,Poland,0,3,1,4
2026-04-07,22,New Zealand,0,2,1,3
2026-04-07,23,Finland,0,1,5,6
2026-04-07,24,Latvia,0,1,1,2
2026-04-07,25,Denmark,0,1,0,1
2026-04-07,Estonia,0,1,0,1,0
2026-04-07,Georgia,0,1,0,1,0
2026-04-07,–,Individual Neutral Athletes,0,1,0,1
2026-04-07,28,Bulgaria,0,0,2,2
2026-04-07,29,Belgium,0,0,1,1
